Entity,Code,Year,Share of the population who are Muslims
United States Virgin Islands,VIR,2010,0.10611201
United States Virgin Islands,VIR,2020,0.10534078
Uruguay,URY,2010,0.021475542
Uruguay,URY,2020,0.089302436
Uzbekistan,UZB,2010,95.7506
Uzbekistan,UZB,2020,95.62223
Vanuatu,VUT,2010,0.024444599
Vanuatu,VUT,2020,0.019250408
Venezuela,VEN,2010,0.04980719
Venezuela,VEN,2020,0.04906907
Vietnam,VNM,2010,0.087436005
Vietnam,VNM,2020,0.07207804
Western Sahara,ESH,2010,99.51042
Western Sahara,ESH,2020,99.55184
World,OWID_WRL,2010,23.869791
World,OWID_WRL,2020,25.64849
Yemen,YEM,2010,99.77964
Yemen,YEM,2020,99.86302
Zambia,ZMB,2010,0.5055162
Zambia,ZMB,2020,0.5112895
Zimbabwe,ZWE,2010,0.50271493
Zimbabwe,ZWE,2020,0.52910537
